,y,date
0,760,2020-11-03
1,760,2020-11-04
2,765,2020-11-05
3,760,2020-11-06
4,760,2020-11-07
5,760,2020-11-08
6,760,2020-11-09
7,760,2020-11-10
8,760,2020-11-11
9,760,2020-11-12
10,760,2020-11-13
11,750,2020-11-14
12,750,2020-11-15
13,750,2020-11-16
14,750,2020-11-17
15,760,2020-11-18
16,760,2020-11-19
17,760,2020-11-20
18,760,2020-11-21
19,758,2020-11-22
20,760,2020-11-23
21,760,2020-11-24
22,759,2020-11-25
23,759,2020-11-26
24,760,2020-11-27
25,762,2020-11-28
26,762,2020-11-29
27,762,2020-11-30
28,763,2020-12-01
29,763,2020-12-02
30,763,2020-12-03
31,764,2020-12-04
32,768,2020-12-05
33,768,2020-12-06
34,768,2020-12-07
35,768,2020-12-08
36,768,2020-12-09
37,768,2020-12-10
38,768,2020-12-11
39,768,2020-12-12
40,768,2020-12-13
41,769,2020-12-14
42,769,2020-12-15
43,769,2020-12-16
44,770,2020-12-17
45,765,2020-12-18
46,765,2020-12-19
47,766,2020-12-20
48,765,2020-12-21
49,765,2020-12-22
50,764,2020-12-23
51,761,2020-12-24
52,761,2020-12-25
53,760,2020-12-26
54,759,2020-12-27
55,750,2020-12-28
56,758,2020-12-29
57,753,2020-12-30
58,750,2020-12-31
59,750,2021-01-01
60,750,2021-01-02
61,750,2021-01-03
62,750,2021-01-04
63,750,2021-01-05
64,750,2021-01-06
65,750,2021-01-07
66,750,2021-01-08
67,750,2021-01-09
68,750,2021-01-10
69,757,2021-01-11
70,758,2021-01-12
71,757,2021-01-13
72,759,2021-01-14
73,760,2021-01-15
74,762,2021-01-16
75,769,2021-01-17
76,770,2021-01-18
77,774,2021-01-19
78,778,2021-01-20
79,785,2021-01-21
80,788,2021-01-22
81,790,2021-01-23
82,794,2021-01-24
83,794,2021-01-25
84,794,2021-01-26
85,800,2021-01-27
86,800,2021-01-28
87,800,2021-01-29
88,800,2021-01-30
89,800,2021-01-31
90,800,2021-02-01
91,800,2021-02-02
92,800,2021-02-03
93,808,2021-02-04
94,810,2021-02-05
95,813,2021-02-06
96,814,2021-02-07
97,819,2021-02-08
98,821,2021-02-09
99,822,2021-02-10
100,825,2021-02-11
101,827,2021-02-12
102,830,2021-02-13
103,830,2021-02-14
104,835,2021-02-15
105,841,2021-02-16
106,849,2021-02-17
107,850,2021-02-18
108,860,2021-02-19
109,870,2021-02-20
110,892,2021-02-21
111,900,2021-02-22
112,918,2021-02-23
113,925,2021-02-24
114,934,2021-02-25
115,950,2021-02-26
116,970,2021-02-27
117,985,2021-02-28
118,1000,2021-03-01
119,1000,2021-03-02
120,1009,2021-03-03
121,1012,2021-03-04
122,1039,2021-03-05
123,1064,2021-03-06
124,1080,2021-03-07
125,1100,2021-03-08
126,1100,2021-03-09
127,1109,2021-03-10
128,1111,2021-03-11
129,1117,2021-03-12
130,1125,2021-03-13
131,1126,2021-03-14
132,1133,2021-03-15
133,1140,2021-03-16
134,1150,2021-03-17
135,1150,2021-03-18
136,1159,2021-03-19
137,1162,2021-03-20
138,1166,2021-03-21
139,1175,2021-03-22
140,1175,2021-03-23
141,1176,2021-03-24
142,1175,2021-03-25
143,1179,2021-03-26
