,y,date
0,300,2020-01-21
1,300,2020-01-22
2,300,2020-01-23
3,300,2020-01-24
4,300,2020-01-25
5,270,2020-01-26
6,270,2020-01-27
7,270,2020-01-28
8,270,2020-01-29
9,270,2020-01-30
10,270,2020-01-31
11,270,2020-02-01
12,284,2020-02-02
13,284,2020-02-03
14,284,2020-02-04
15,284,2020-02-05
16,284,2020-02-06
17,275,2020-02-07
18,275,2020-02-08
19,284,2020-02-09
20,276,2020-02-10
21,276,2020-02-11
22,276,2020-02-12
23,284,2020-02-13
24,284,2020-02-14
25,284,2020-02-15
26,284,2020-02-16
27,284,2020-02-17
28,284,2020-02-18
29,276,2020-02-19
30,275,2020-02-20
31,275,2020-02-21
32,275,2020-02-22
33,276,2020-02-23
34,275,2020-02-24
35,275,2020-02-25
36,275,2020-02-26
37,275,2020-02-27
38,275,2020-02-28
39,276,2020-02-29
40,276,2020-03-01
41,276,2020-03-02
42,275,2020-03-03
43,275,2020-03-04
44,275,2020-03-05
45,275,2020-03-06
46,275,2020-03-07
47,275,2020-03-08
48,275,2020-03-09
49,275,2020-03-10
50,272,2020-03-11
51,275,2020-03-12
52,272,2020-03-13
53,270,2020-03-14
54,275,2020-03-15
55,272,2020-03-16
56,275,2020-03-17
57,272,2020-03-18
58,272,2020-03-19
59,272,2020-03-20
60,275,2020-03-21
61,290,2020-03-22
62,275,2020-03-23
63,272,2020-03-24
64,275,2020-03-25
65,290,2020-03-26
66,290,2020-03-27
67,290,2020-03-28
68,290,2020-03-29
69,290,2020-03-30
70,290,2020-03-31
71,275,2020-04-01
72,281,2020-04-02
73,290,2020-04-03
74,290,2020-04-04
75,290,2020-04-05
76,290,2020-04-06
77,290,2020-04-07
78,290,2020-04-08
79,290,2020-04-09
80,290,2020-04-10
81,290,2020-04-11
82,290,2020-04-12
83,290,2020-04-13
84,290,2020-04-14
85,290,2020-04-15
86,290,2020-04-16
87,290,2020-04-17
88,290,2020-04-18
89,290,2020-04-19
90,290,2020-04-20
91,290,2020-04-21
92,296,2020-04-22
93,296,2020-04-23
94,296,2020-04-24
95,300,2020-04-25
96,300,2020-04-26
97,300,2020-04-27
98,300,2020-04-28
99,300,2020-04-29
100,300,2020-04-30
101,300,2020-05-01
102,300,2020-05-02
103,300,2020-05-03
104,300,2020-05-04
105,300,2020-05-05
106,305,2020-05-06
107,305,2020-05-07
108,305,2020-05-08
109,302,2020-05-09
110,305,2020-05-10
111,305,2020-05-11
112,305,2020-05-12
113,305,2020-05-13
114,308,2020-05-14
115,310,2020-05-15
116,315,2020-05-16
117,310,2020-05-17
118,310,2020-05-18
119,308,2020-05-19
120,310,2020-05-20
121,310,2020-05-21
122,308,2020-05-22
123,308,2020-05-23
124,308,2020-05-24
125,308,2020-05-25
126,308,2020-05-26
127,300,2020-05-27
128,300,2020-05-28
129,300,2020-05-29
130,300,2020-05-30
131,305,2020-05-31
132,305,2020-06-01
133,305,2020-06-02
134,302,2020-06-03
135,305,2020-06-04
136,305,2020-06-05
137,305,2020-06-06
138,310,2020-06-07
139,310,2020-06-08
140,310,2020-06-09
141,310,2020-06-10
142,310,2020-06-11
143,310,2020-06-12
144,310,2020-06-13
145,310,2020-06-14
146,310,2020-06-15
147,310,2020-06-16
148,314,2020-06-17
149,310,2020-06-18
150,310,2020-06-19
151,310,2020-06-20
152,310,2020-06-21
153,310,2020-06-22
154,310,2020-06-23
155,310,2020-06-24
156,314,2020-06-25
157,315,2020-06-26
158,315,2020-06-27
159,315,2020-06-28
160,315,2020-06-29
161,315,2020-06-30
162,310,2020-07-01
163,310,2020-07-02
164,315,2020-07-03
165,315,2020-07-04
166,315,2020-07-05
167,315,2020-07-06
168,314,2020-07-07
169,310,2020-07-08
170,310,2020-07-09
171,310,2020-07-10
172,310,2020-07-11
173,310,2020-07-12
174,310,2020-07-13
175,310,2020-07-14
176,310,2020-07-15
177,310,2020-07-16
178,310,2020-07-17
179,310,2020-07-18
180,310,2020-07-19
181,315,2020-07-20
182,314,2020-07-21
183,310,2020-07-22
184,314,2020-07-23
185,314,2020-07-24
186,314,2020-07-25
187,314,2020-07-26
188,315,2020-07-27
189,314,2020-07-28
190,312,2020-07-29
191,312,2020-07-30
192,315,2020-07-31
193,319,2020-08-01
194,319,2020-08-02
195,319,2020-08-03
196,319,2020-08-04
197,320,2020-08-05
198,320,2020-08-06
199,320,2020-08-07
200,320,2020-08-08
201,320,2020-08-09
202,320,2020-08-10
203,320,2020-08-11
204,321,2020-08-12
205,321,2020-08-13
206,321,2020-08-14
207,321,2020-08-15
208,321,2020-08-16
209,325,2020-08-17
210,321,2020-08-18
211,325,2020-08-19
212,325,2020-08-20
213,321,2020-08-21
214,321,2020-08-22
215,320,2020-08-23
216,321,2020-08-24
217,321,2020-08-25
218,325,2020-08-26
219,325,2020-08-27
220,330,2020-08-28
221,328,2020-08-29
222,325,2020-08-30
223,325,2020-08-31
224,325,2020-09-01
225,325,2020-09-02
226,325,2020-09-03
227,325,2020-09-04
228,325,2020-09-05
229,325,2020-09-06
230,325,2020-09-07
231,325,2020-09-08
232,325,2020-09-09
233,325,2020-09-10
234,325,2020-09-11
235,325,2020-09-12
236,325,2020-09-13
237,325,2020-09-14
238,325,2020-09-15
239,325,2020-09-16
240,325,2020-09-17
241,325,2020-09-18
242,325,2020-09-19
243,325,2020-09-20
244,325,2020-09-21
245,328,2020-09-22
246,328,2020-09-23
247,325,2020-09-24
248,328,2020-09-25
249,330,2020-09-26
250,330,2020-09-27
251,330,2020-09-28
252,330,2020-09-29
253,330,2020-09-30
254,330,2020-10-01
255,330,2020-10-02
256,330,2020-10-03
257,330,2020-10-04
258,330,2020-10-05
259,330,2020-10-06
260,330,2020-10-07
261,330,2020-10-08
262,332,2020-10-09
263,332,2020-10-10
264,332,2020-10-11
265,330,2020-10-12
266,332,2020-10-13
267,330,2020-10-14
268,330,2020-10-15
269,330,2020-10-16
270,332,2020-10-17
271,332,2020-10-18
272,330,2020-10-19
273,335,2020-10-20
274,335,2020-10-21
275,330,2020-10-22
276,330,2020-10-23
277,330,2020-10-24
278,330,2020-10-25
279,330,2020-10-26
280,330,2020-10-27
281,331,2020-10-28
282,331,2020-10-29
283,335,2020-10-30
284,331,2020-10-31
285,331,2020-11-01
286,330,2020-11-02
287,330,2020-11-03
288,330,2020-11-04
289,331,2020-11-05
290,325,2020-11-06
291,330,2020-11-07
292,325,2020-11-08
293,331,2020-11-09
294,335,2020-11-10
295,335,2020-11-11
296,337,2020-11-12
297,337,2020-11-13
298,337,2020-11-14
299,339,2020-11-15
300,339,2020-11-16
301,340,2020-11-17
302,339,2020-11-18
303,339,2020-11-19
304,341,2020-11-20
305,341,2020-11-21
306,341,2020-11-22
307,341,2020-11-23
308,344,2020-11-24
309,344,2020-11-25
310,344,2020-11-26
311,349,2020-11-27
312,349,2020-11-28
313,349,2020-11-29
314,349,2020-11-30
315,350,2020-12-01
316,350,2020-12-02
317,351,2020-12-03
318,355,2020-12-04
319,363,2020-12-05
320,363,2020-12-06
321,365,2020-12-07
322,365,2020-12-08
323,367,2020-12-09
324,370,2020-12-10
325,370,2020-12-11
326,377,2020-12-12
327,378,2020-12-13
328,380,2020-12-14
329,382,2020-12-15
330,386,2020-12-16
331,391,2020-12-17
332,391,2020-12-18
333,393,2020-12-19
334,394,2020-12-20
335,394,2020-12-21
336,395,2020-12-22
337,394,2020-12-23
338,395,2020-12-24
339,396,2020-12-25
340,399,2020-12-26
341,399,2020-12-27
342,400,2020-12-28
343,400,2020-12-29
344,400,2020-12-30
345,400,2020-12-31
346,400,2021-01-01
347,400,2021-01-02
348,404,2021-01-03
349,409,2021-01-04
350,409,2021-01-05
351,412,2021-01-06
352,412,2021-01-07
