,y,date
290,780,2020-11-07
291,779,2020-11-08
292,775,2020-11-09
293,775,2020-11-10
294,779,2020-11-11
295,783,2020-11-12
296,783,2020-11-13
297,780,2020-11-14
298,779,2020-11-15
299,783,2020-11-16
300,783,2020-11-17
301,785,2020-11-18
302,785,2020-11-19
303,783,2020-11-20
304,785,2020-11-21
305,785,2020-11-22
306,789,2020-11-23
307,792,2020-11-24
308,795,2020-11-25
309,799,2020-11-26
310,810,2020-11-27
311,809,2020-11-28
312,809,2020-11-29
313,811,2020-11-30
314,819,2020-12-01
315,820,2020-12-02
316,821,2020-12-03
317,822,2020-12-04
318,822,2020-12-05
319,830,2020-12-06
320,859,2020-12-07
321,864,2020-12-08
322,871,2020-12-09
323,871,2020-12-10
324,871,2020-12-11
325,890,2020-12-12
326,890,2020-12-13
327,892,2020-12-14
328,892,2020-12-15
329,895,2020-12-16
330,895,2020-12-17
331,895,2020-12-18
332,895,2020-12-19
333,900,2020-12-20
334,896,2020-12-21
335,896,2020-12-22
336,895,2020-12-23
337,895,2020-12-24
338,891,2020-12-25
339,881,2020-12-26
340,871,2020-12-27
341,871,2020-12-28
342,871,2020-12-29
343,870,2020-12-30
344,870,2020-12-31
345,870,2021-01-01
346,870,2021-01-02
347,870,2021-01-03
348,871,2021-01-04
349,890,2021-01-05
350,895,2021-01-06
351,900,2021-01-07
352,906,2021-01-08
353,911,2021-01-09
354,915,2021-01-10
355,935,2021-01-11
356,942,2021-01-12
357,965,2021-01-13
358,970,2021-01-14
359,1025,2021-01-15
360,1095,2021-01-16
361,1110,2021-01-17
362,1161,2021-01-18
363,1175,2021-01-19
364,1183,2021-01-20
365,1188,2021-01-21
366,1199,2021-01-22
367,1200,2021-01-23
368,1200,2021-01-24
369,1210,2021-01-25
370,1214,2021-01-26
371,1220,2021-01-27
372,1230,2021-01-28
373,1240,2021-01-29
374,1250,2021-01-30
375,1260,2021-01-31
376,1275,2021-02-01
377,1299,2021-02-02
378,1300,2021-02-03
379,1300,2021-02-04
380,1310,2021-02-05
381,1304,2021-02-06
382,1300,2021-02-07
383,1310,2021-02-08
384,1316,2021-02-09
385,1335,2021-02-10
386,1337,2021-02-11
387,1348,2021-02-12
388,1350,2021-02-13
389,1370,2021-02-14
390,1389,2021-02-15
391,1400,2021-02-16
392,1411,2021-02-17
393,1411,2021-02-18
394,1467,2021-02-19
395,1478,2021-02-20
396,1478,2021-02-21
397,1500,2021-02-22
398,1504,2021-02-23
399,1506,2021-02-24
400,1510,2021-02-25
401,1525,2021-02-26
402,1561,2021-02-27
403,1600,2021-02-28
404,1600,2021-03-01
405,1635,2021-03-02
406,1650,2021-03-03
407,1664,2021-03-04
408,1685,2021-03-05
409,1700,2021-03-06
410,1712,2021-03-07
411,1725,2021-03-08
412,1750,2021-03-09
413,1750,2021-03-10
414,1796,2021-03-11
415,1800,2021-03-12
416,1800,2021-03-13
417,1816,2021-03-14
418,1825,2021-03-15
419,1850,2021-03-16
420,1885,2021-03-17
421,1891,2021-03-18
422,1899,2021-03-19
423,1900,2021-03-20
424,1900,2021-03-21
425,1900,2021-03-22
426,1900,2021-03-23
427,1899,2021-03-24
428,1891,2021-03-25
429,1899,2021-03-26
430,1905,2021-03-27
431,1911,2021-03-28
432,1914,2021-03-29
433,1925,2021-03-30
434,1925,2021-03-31
435,1927,2021-04-01
436,1934,2021-04-02
437,1927,2021-04-03
438,1946,2021-04-04
439,1971,2021-04-05
440,1986,2021-04-06
441,1986,2021-04-07
442,1989,2021-04-08
443,1995,2021-04-09
444,1995,2021-04-10
445,1998,2021-04-11
446,2000,2021-04-12
447,2000,2021-04-13
448,2000,2021-04-14
449,2000,2021-04-15
450,1998,2021-04-16
451,1998,2021-04-17
452,1997,2021-04-18
453,1999,2021-04-19
454,1998,2021-04-20
455,2000,2021-04-21
456,2003,2021-04-22
457,2024,2021-04-23
458,2025,2021-04-24
459,2025,2021-04-25
460,2025,2021-04-26
461,2025,2021-04-27
462,2032,2021-04-28
463,2033,2021-04-29
464,2050,2021-04-30
465,2048,2021-05-01
466,2050,2021-05-02
467,2050,2021-05-03
468,2035,2021-05-04
469,2033,2021-05-05
470,2033,2021-05-06
471,2033,2021-05-07
472,2032,2021-05-08
473,2032,2021-05-09
474,2048,2021-05-10
475,2048,2021-05-11
476,2048,2021-05-12
477,2035,2021-05-13
478,2048,2021-05-14
479,2062,2021-05-15
480,2068,2021-05-16
481,2107,2021-05-17
482,2111,2021-05-18
483,2107,2021-05-19
484,2110,2021-05-20
485,2100,2021-05-21
486,2107,2021-05-22
487,2100,2021-05-23
488,2107,2021-05-24
489,2122,2021-05-25
490,2136,2021-05-26
491,2136,2021-05-27
492,2125,2021-05-28
493,2122,2021-05-29
494,2110,2021-05-30
495,2100,2021-05-31
496,2078,2021-06-01
497,2062,2021-06-02
498,2100,2021-06-03
499,2100,2021-06-04
500,2078,2021-06-05
501,2078,2021-06-06
502,2075,2021-06-07
503,2062,2021-06-08
504,2050,2021-06-09
505,2050,2021-06-10
506,2048,2021-06-11
507,2048,2021-06-12
508,2039,2021-06-13
509,2030,2021-06-14
510,2030,2021-06-15
511,2005,2021-06-16
512,2005,2021-06-17
513,2000,2021-06-18
514,2000,2021-06-19
515,2000,2021-06-20
516,1993,2021-06-21
517,1949,2021-06-22
518,1945,2021-06-23
519,1927,2021-06-24
520,1909,2021-06-25
521,1899,2021-06-26
522,1899,2021-06-27
523,1899,2021-06-28
524,1889,2021-06-29
525,1867,2021-06-30
526,1850,2021-07-01
527,1850,2021-07-02
528,1850,2021-07-03
529,1800,2021-07-04
530,1712,2021-07-05
531,1711,2021-07-06
532,1706,2021-07-07
533,1706,2021-07-08
534,1706,2021-07-09
535,1686,2021-07-10
536,1699,2021-07-11
537,1699,2021-07-12
538,1686,2021-07-13
539,1675,2021-07-14
540,1675,2021-07-15
541,1667,2021-07-16
542,1662,2021-07-17
543,1660,2021-07-18
544,1636,2021-07-19
545,1620,2021-07-20
546,1612,2021-07-21
547,1596,2021-07-22
548,1570,2021-07-23
549,1538,2021-07-24
550,1538,2021-07-25
551,1555,2021-07-26
552,1555,2021-07-27
553,1550,2021-07-28
554,1538,2021-07-29
555,1550,2021-07-30
556,1538,2021-07-31
557,1538,2021-08-01
558,1535,2021-08-02
559,1535,2021-08-03
560,1538,2021-08-04
561,1538,2021-08-05
